cdate,cp,pctlead,pred_linr,pred_logr
2003-01-02,909.030000,-0.048400,0.030524,0.480408
2003-01-03,908.590000,2.247400,-0.005331,0.504793
2003-01-06,929.010000,-0.654500,-0.002699,0.474556
2003-01-07,922.930000,-1.408600,0.022825,0.508005
2003-01-08,909.930000,1.938600,0.033688,0.478738
2003-01-09,927.570000,0.000000,-0.009980,0.471717
2003-01-10,927.570000,-0.141200,0.045118,0.483748
2003-01-13,926.260000,0.583000,0.000034,0.430975
2003-01-14,931.660000,-1.442600,-0.017506,0.500873
2003-01-15,918.220000,-0.394200,0.072768,0.508499
2003-01-16,914.600000,-1.401700,0.046124,0.497682
2003-01-17,901.780000,-1.570200,0.054123,0.528997
2003-01-21,887.620000,-1.043200,0.109666,0.504096
2003-01-22,878.360000,1.022400,0.099030,0.532117
2003-01-23,887.340000,-2.923300,0.117030,0.539361
2003-01-24,861.400000,-1.616000,0.105643,0.541767
2003-01-27,847.480000,1.305000,0.105715,0.541961
2003-01-28,858.540000,0.677900,0.168778,0.579843
2003-01-29,864.360000,-2.284900,0.212692,0.543858
2003-01-30,844.610000,1.313000,0.045763,0.510171
2003-01-31,855.700000,0.539900,-0.011798,0.543752
2003-02-03,860.320000,-1.408800,0.184135,0.553570
2003-02-04,848.200000,-0.543500,0.131104,0.502528
2003-02-05,843.590000,-0.644900,-0.002143,0.507369
2003-02-06,838.150000,-1.009400,0.079919,0.536930
2003-02-07,829.690000,0.756900,0.099684,0.513008
2003-02-10,835.970000,-0.809800,0.101525,0.515824
2003-02-11,829.200000,-1.268700,0.096332,0.520334
2003-02-12,818.680000,-0.160000,0.070042,0.517222
2003-02-13,817.370000,2.143500,0.072752,0.547682
2003-02-14,834.890000,1.950000,0.103276,0.530555
2003-02-18,851.170000,-0.709600,0.090060,0.491863
2003-02-19,845.130000,-0.950200,-0.017261,0.487031
2003-02-20,837.100000,1.322400,-0.042926,0.504783
2003-02-21,848.170000,-1.838100,0.050502,0.524532
2003-02-24,832.580000,0.719400,0.146483,0.493162
2003-02-25,838.570000,-1.314100,0.005595,0.454181
2003-02-26,827.550000,1.175800,0.030119,0.514800
2003-02-27,837.280000,0.462200,0.059070,0.492803
2003-02-28,841.150000,-0.753700,0.038883,0.520229
2003-03-03,834.810000,-1.535700,0.080677,0.502363
